Tool,Assessment file,CQ,Query file,Rows returned,Status
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ1,CQ1-assessed-object.rq,2510,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ10,CQ10-aggregation-method.rq,1255,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ11,CQ11-score-evolution-over-time.rq,1255,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ12,CQ12-outcomes-by-subprinciple.rq,15060,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ13,CQ13-indeterminate-results-with-evidence.rq,48,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ14,CQ14-assessment-result-scope.rq,15060,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ2,CQ2-assessment-for-object.rq,1255,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ3,CQ3-aggregate-scores.rq,1255,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ4,CQ4-evaluated-subprinciples.rq,15060,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ5,CQ5-subprinciple-score-outcome.rq,15060,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ6,CQ6-evidence.rq,15060,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ7,CQ7-calculation-algorithm.rq,15060,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ8,CQ8-scoring-function.rq,12,Answered
FAIRChecker,data/FAIRChecker_assessment/fairchecker_assessment_fair-o.ttl,CQ9,CQ9-software-agent.rq,15060,Answered
